snr_label,snr_db,fg_frac,iou_vs_clean,pwk_fg_frac,pwk_iou_vs_clean,method_agreement_iou,best_k,tau,runtime_s,null_triggered,null_reason,gmm_mean_gap,noise_prob_spread_05_95,noise_prob_mean,noise_prob_hi_frac
native,,0.07568359375,0.9999999999677419,0.046875,0.9999999999479167,0.588607594918082,3,0.4055933654308319,0.00011878192890435457,False,none,0.7943748831748962,0.9600922465324402,0.7387816309928894,0.430419921875
+30 dB,30,0.07568359375,0.9999999999677419,0.385009765625,0.11749842071940937,0.19657577679012952,3,0.4105208218097687,4.15812893002294,False,none,0.8042650818824768,0.9600489139556885,0.7480543851852417,0.477294921875
+20 dB,20,0.077392578125,0.977917981041706,0.38818359375,0.11654135338272845,0.19937106918113603,3,0.4155232310295105,4.741146718966775,False,none,0.8129100799560547,0.9600853323936462,0.7525177001953125,0.49365234375
+10 dB,10,0.07568359375,0.9999999999677419,0.291259765625,0.15512927439403562,0.25984911986370623,3,0.40888169407844543,5.107245219987817,False,none,0.8010037541389465,0.9601036906242371,0.7450463175773621,0.404541015625
+0 dB,0,0.07470703125,0.9870967741617065,0.215576171875,0.20922384701676913,0.34654586636074125,6,0.40924081206321716,4.2199700199998915,False,none,0.7974374890327454,0.9607917666435242,0.7409878969192505,0.383056640625
-10 dB,-10,0.076904296875,0.8545994065028308,0.294921875,0.1532125205918187,0.25556471557909677,4,0.38007983565330505,4.001428699935786,False,none,0.7201597094535828,0.9600000381469727,0.682491660118103,0.270751953125
-20 dB,-20,0.162353515625,0.3771186440624701,0.307861328125,0.14680347276916494,0.3048780487784223,3,0.513475775718689,10.705753986956552,False,none,0.41367679834365845,0.9600000381469727,0.6396619081497192,0.233642578125
-30 dB,-30,0.11328125,0.2150706436386959,0.31201171875,0.14485981308298396,0.203038674031747,5,0.4793165624141693,6.631792746949941,False,none,0.44755882024765015,0.9600000381469727,0.6156454086303711,0.23388671875
-40 dB,-40,0.011962890625,0.034582132563844896,0.319091796875,0.14166031987706276,0.018782870022398326,3,0.3552992045879364,4.022948095924221,False,none,0.6705983281135559,0.9600000381469727,0.6243045330047607,0.24169921875
